Generation,BestFitness,AverageFitness,SpeciesCount,AverageComplexity,ChampionSteps
230,402.000000,284.744000,94,24.900000,401.000000
231,402.000000,294.493333,94,25.073333,401.000000
232,402.000000,295.138667,94,24.993333,401.000000
233,402.000000,280.042667,94,25.173333,401.000000
234,402.000000,288.738667,94,25.426667,401.000000
235,402.000000,281.224000,94,24.833333,401.000000
236,402.000000,279.732000,94,24.880000,401.000000
237,402.000000,286.137333,95,25.080000,401.000000
238,402.000000,293.505333,95,24.960000,401.000000
239,402.000000,297.274667,95,25.406667,401.000000
240,402.000000,286.824000,96,24.873333,401.000000
241,402.000000,293.290667,96,25.106667,401.000000
242,402.000000,296.132000,96,24.873333,401.000000
243,402.000000,284.804000,96,24.806667,401.000000
244,402.000000,285.086667,96,25.200000,401.000000
245,402.000000,299.182667,96,25.060000,401.000000
246,402.000000,305.308000,96,25.006667,401.000000
247,402.000000,304.882667,96,25.020000,401.000000
248,402.000000,294.572000,96,25.506667,401.000000
249,402.000000,297.720000,96,24.913333,401.000000
250,402.000000,294.308000,96,24.840000,401.000000
251,402.000000,295.245333,96,25.020000,401.000000
252,402.000000,297.733333,96,25.113333,401.000000
253,402.000000,290.356000,96,25.053333,401.000000
254,402.000000,291.866667,96,25.613333,401.000000
255,402.000000,294.590667,96,24.806667,401.000000
256,402.000000,303.082667,96,25.240000,401.000000
257,402.000000,283.852000,96,24.766667,401.000000
258,402.000000,297.120000,96,25.133333,401.000000
259,402.000000,289.812000,96,24.900000,401.000000
260,402.000000,300.525333,96,25.173333,401.000000
261,402.000000,293.713333,96,25.126667,401.000000
262,402.000000,299.096000,96,25.126667,401.000000
263,402.000000,289.966667,96,25.146667,401.000000
264,402.000000,293.666667,96,25.166667,401.000000
265,402.000000,284.233333,96,25.373333,401.000000
266,402.000000,305.982667,96,25.000000,401.000000
267,402.000000,290.980000,97,25.240000,401.000000
268,402.000000,298.305333,97,25.280000,401.000000
269,402.000000,293.868000,97,25.420000,401.000000
270,402.000000,300.929333,97,25.100000,401.000000
271,402.000000,276.678667,97,25.206667,401.000000
